time,name,commenter,comment,star
8 個月前,浩宇許,在地嚮導 · 20 則評論,餐點便宜大份，味道也很好很有美式的感覺。今天吃的是牛雞漢堡，紐澳良烤雞腿和厚實的牛肉漢堡排，配上醬汁和兩種起司搭配，好吃。飲料可以續杯，店員都有一直留意且主動詢問是否需要續杯。,5
1 個月前,Agnes Li,在地嚮導 · 23 則評論,"學生家庭最愛飽足CP店，佛系不收服務費，飲料無限喝，熱飲也只要+40喝好喝滿心靈大滿足。

店員都很年輕，是政大商圈一定要推的社區長壽店好店點。

想要求用餐環境優雅坐位舒服的，建議去對面Bistro會比較合適; 這邊是吃飽喝足喧嘩聊天的偏美式隨性空間。

（十年居民再訪幾十次加分推薦）",5
9 個月前,Nonie Chung,在地嚮導 · 30 則評論,服務人員很親切 東西很乾淨 薯條顏色很漂亮 ，室內沒有油煙，貝果很驚豔 大推 ！,5
9 個月前,Shih Wang,在地嚮導 · 52 則評論,"*希臘野菇蛋捲
歐姆蛋很好吃！
*戰骨野菇蛋捲
有很大塊的豬排， 味道很香很好吃，CP值很高！",5
7 個月前,林旻諭,在地嚮導 · 62 則評論,"花生醬給的很大方，但有點太膩了
歐姆蛋比較合我胃口，蛋裡還包有馬鈴薯之類的，可以增加飽足感😍",4
2 週前,黃清宗（NTPU公共政策碩士班、桃園市政府第三屆青諮委員）,在地嚮導 · 37 則評論,"鳳梨這個口味簡直人間美味😍😍
來臺北絕對不能錯過的一間美式漢堡🥰
真的是很優質~很好吃耶！😋",5
8 個月前,吳沛林,在地嚮導 · 136 則評論,"價格實惠 漢堡不錯 飲料還可以無限續真的佛
但薯條就比較普通了",5
7 個月前,yenderrr,7 則評論,雖然是美式餐廳，餐點也不錯吃，但應該是廚房出入口那個門開關很像大象🐘的叫聲，有如置身非洲的感覺，真是太棒的體驗了，再加一顆星,5
9 個月前,黃蘭惠,27 則評論,份量是蠻大的 但味道普通 比較適合學生的餐廳 單點了南瓜濃湯 但比較像玉米湯 裡面放一塊南瓜,3
1 年前,Starry Chen,在地嚮導 · 148 則評論,"一份235元的花生醬牛肉堡
花生醬很大一個
就漢堡來講 雖然不能算是CP值最高
但這個價位對於學生還是很友善的
加上還有附薯條與飲料喝到飽
由於有芥末醬 不是雜牌 是蠻常見的醬料牌子
所以我用薯條沾芥末
味道中規中矩
漢堡的部分
要小心有些起司跟花生醬會跑出來
整體吃起來肉算蠻大塊的
生菜什麼的份量都不少
但是給五星是有點太多
不過四捨五入之後的確有五星水準
飲料喝到飽的部分
雖然是服務員幫你裝
但是都很勤奮的問你需不需要裝
就服務態度方面真的很不錯
不過價格的部分可能不能太常吃
聚會的話是不錯選擇",5
8 個月前,Yuting,在地嚮導 · 386 則評論,"漢堡好吃🍔
雞肉超嫩，吃起來大大大滿足🤩
小缺點是用餐時間人很多，但店內位置窄窄的🥲",5
9 個月前,語軒,在地嚮導 · 27 則評論,建議提早訂位，巔峰時段幾乎都會客滿，適合 朋友/家庭/情侶 聚餐的好地方，飲料可無限續杯，幸福的一餐。,4
8 個月前,林宸妍,在地嚮導 · 41 則評論,"料理美味，貝果、漢堡肉、肋排推
餐點便宜服務用心",5
6 個月前,Rola Jeng,在地嚮導 · 39 則評論,菜色豐富，份量蠻大的，比較適合大食量的人來，可以續杯，價格合理，是會常來的店，另外很喜歡薯條炸的脆脆剛剛好。,4
1 年前,時光,在地嚮導 · 70 則評論,"點了花生醬牛肉堡、雞腿堡
花生的比例太高，雖然拍照好看但吃一半就很膩，雞腿肉不知道怎麼醃製調味的，像味增又像迷迭香，口味有點怪異
最好吃的反而是雞塊，這次消費體驗不優",3
1 年前,SI-PING FANG,在地嚮導 · 77 則評論,"上餐速度快～餐期會客滿
點選主食飲料可以無限續飲唷👍
漢堡的牛肉很嫩
超大戰骨豬排真的超大
歐姆蛋內部很嫩還有馬鈴薯
還有薯條～～～
吃下來非常有飽足感",5
2 個月前,Lu Lucy,在地嚮導 · 55 則評論,8/30美式餐廳  豬排歐姆套餐 份量多 飲料續杯不加價 cp值高 值得又會再來吃,5
